senseval2.d000.s000.t000	5) The study and creation of visual works of art
senseval2.d001.s019.t012	3) To be found to exist.
senseval2.d001.s019.t013	2) In or to a reversed position or direction.
senseval2.d001.s019.t014	3) As soon as
senseval2.d001.s019.t015	5) The event of being born.
senseval2.d001.s020.t000	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval2.d001.s020.t001	The most suitable dictionary definition which identifies the meaning of "carried" among the given options is:3) Continue or extend
senseval2.d001.s020.t002	2) Being unjustly brought into disrepute
senseval2.d001.s020.t004	4) Be set at a disadvantage.
senseval2.d001.s020.t005	1) A small hole or loop (as in a needle).
senseval2.d001.s020.t008	2) And nothing more
senseval2.d001.s020.t009	3) A woman religious
senseval2.d001.s020.t010	5) Put up with something or somebody unpleasant.
senseval2.d001.s020.t011	2) Closely similar or comparable in kind or quality or quantity or degree
senseval2.d001.s020.t012	2) An event (or a course of events) that will inevitably happen in the future
senseval2.d001.s020.t013	9) a very young child (birth to 1 year) who has not yet begun to walk or talk.
senseval2.d001.s021.t000	2) A state of separation between persons or groups.
senseval2.d001.s021.t003	1) Enter or assume a certain state or condition
senseval2.d001.s021.t004	2) Capable of happening or existing
senseval2.d001.s021.t005	2) Occurring at the time of death
senseval2.d001.s021.t007	1) Find out, learn, or determine with certainty, usually by making an inquiry or other effortThis definition is most
senseval2.d001.s021.t008	4) A warning that something unpleasant is imminent
senseval2.d001.s021.t009	9) a very young child (birth to 1 year) who has not yet begun to walk or talk.
senseval2.d001.s021.t010	7) Turn so as to face; turn the face in a certain direction
senseval2.d001.s022.t001	4) use up, consume fully
senseval2.d001.s022.t002	3) In use after medieval times.
senseval2.d001.s022.t003	2) Of or relating to the science of genetics
senseval2.d001.s022.t004	2) Take (someone) to their seats, as in theaters or auditoriums
senseval2.d001.s022.t005	3) (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `
senseval2.d001.s022.t006	3) Receive by genetic transmission
senseval2.d001.s022.t007	1) Being unjustly brought into disrepute
senseval2.d001.s022.t011	2) Be oriented in a certain direction, often with respect to another reference point; be opposite to
senseval2.d001.s022.t012	2) (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or
senseval2.d001.s022.t013	3) The probability of becoming infected given that exposure to an infectious agent has occurred.
senseval2.d001.s022.t014	3) Very unusual; different in character or quality from the normal or expected
senseval2.d001.s022.t015	5) A human offspring (son or daughter) of any age.
senseval2.d001.s022.t016	7) Happen
senseval2.d001.s022.t018	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s023.t000	The most suitable dictionary definition which identifies the meaning of "made" among the given options is:9) Organize or be
senseval2.d001.s023.t002	The most suitable definition which identifies the meaning of "says" is:7) Speak, pronounce, or utter in a certain
senseval2.d001.s024.t001	3) Preceding all others in time or space or degree.
senseval2.d001.s024.t004	1) A human being
senseval2.d001.s024.t005	2) Consider obligatory; request and expect
senseval2.d001.s024.t006	3) Generate gradually.
senseval2.d001.s024.t007	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s025.t000	2) To the same degree (often followed by `as')
senseval2.d001.s025.t001	2) Of great significance or value
senseval2.d001.s025.t003	4) the act of discovering something
senseval2.d001.s025.t005	4) Lessen the intensity of; temper; hold in restraint; hold or keep within limits
senseval2.d001.s025.t007	5) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads
senseval2.d001.s025.t008	2) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism
senseval2.d001.s025.t009	1) Have a bowel movement2) Proceed along a path
senseval2.d001.s025.t010	1) A licensed medical practitioner
senseval2.d001.s025.t011	7) Give the name or identifying characteristics of; refer to by name or some other identifying characteristic property
senseval2.d001.s025.t012	9) Make the opening moveThe sentence describes a situation where the initial discovery has led to the start of a new area
senseval2.d001.s025.t014	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s025.t016	2) Of the immediate past or just previous to the present time.
senseval2.d001.s025.t017	2) One of the twelve divisions of the calendar year
senseval2.d001.s025.t018	3) Cause to burst as a result of air pressure; of stop consonants like /p/, /t/, and /
senseval2.d001.s026.t000	2) Cause to stop operating by disengaging a switch.
senseval2.d001.s026.t001	3) Consider in detail and subject to an analysis in order to discover essential features or meaning.
senseval2.d001.s026.t002	2) Of or characteristic of tragedy
senseval2.d001.s026.t003	2) Marked by an uncommon quality; especially superlative or extreme of its kind
senseval2.d001.s026.t005	9) Represent fictitiously, as in a play, or pretend to be or act like.Explanation: The word "
senseval2.d001.s026.t006	2) Capable of happening or existing
senseval2.d001.s026.t007	2) Being or involving basic facts or principles.
senseval2.d001.s026.t008	4) The clear (and often sudden) understanding of a complex situation.
senseval2.d001.s026.t009	2) Pertaining to or constituting a base or basis
senseval2.d001.s026.t010	3) The fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22
senseval2.d001.s026.t011	7) Speak, pronounce, or utter in a certain way.
senseval2.d001.s026.t012	The most suitable dictionary definition is:3) A person who exercises control and makes decisions.This definition accurately describes the role of
senseval2.d001.s027.t001	2) A body of people sharing some common interest
senseval2.d001.s027.t002	3) Feeling or showing worry or solicitude
senseval2.d001.s027.t003	5) A change for the better; progress in development.
senseval2.d001.s027.t004	2) A manner of dealing with something artistically
senseval2.d001.s027.t005	2) Pertaining to or constituting a base or basis
senseval2.d001.s027.t007	2) Achieve or accomplish in the least degree, usually used in the negative.
senseval2.d001.s027.t008	7) Make visible or noticeable.This definition is the most suitable for the given sentence, as it directly relates to the meaning
senseval2.d001.s027.t009	4) A statement that solves a problem or explains how to solve the problem.
senseval2.d001.s027.t010	2) In or at that place
senseval2.d001.s029.t000	1) Have a bowel movementThe most suitable dictionary definition which identifies the meaning of "made" is:11) Beh
senseval2.d001.s029.t002	2) Something that is discovered.
senseval2.d001.s030.t000	3) In that case or as a consequence
senseval2.d001.s030.t001	3) Coming after all others in time or space or degree or being the only one remaining
senseval2.d001.s030.t002	1) One of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
senseval2.d001.s030.t004	5) To announce as the result of an investigation or experience or finding.
senseval2.d001.s030.t005	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
senseval2.d001.s030.t007	7) Read aloud to check for omissions or absentees
senseval2.d001.s030.t008	2) Make worse or less effective
senseval2.d001.s030.t009	The most suitable dictionary definition which identifies the meaning of "turns" among the given options is:11) Undergo a
senseval2.d001.s030.t010	3) Having or indicating good health in body or mind; free from infirmity or disease
senseval2.d001.s030.t011	2) A port city at the Caribbean entrance to the Panama Canal.
senseval2.d001.s030.t012	2) A cell that is a structural and functional unit of a plant.
senseval2.d001.s030.t013	2) Relating to or affected with cancer.
senseval2.d001.s031.t001	3) A written document describing the findings of some individual or group.The most suitable definition for "report" in this context
senseval2.d001.s031.t002	2) Belonging to the distant past
senseval2.d001.s031.t004	2) Two or more draft animals that work together to pull something
senseval2.d001.s031.t005	2) A perceptible indication of something not immediately apparent (as a visible clue that something has happened)
senseval2.d001.s031.t006	5) Resembling or similar; having the same or some of the same characteristics; often used in combinationThis definition
senseval2.d001.s031.t007	2) Being unjustly brought into disrepute.
senseval2.d001.s031.t009	2) Temporal sense; intermediate between past and future; now existing or happening or in consideration.
senseval2.d001.s031.t010	2) Part of an organism consisting of an aggregate of cells having a similar structure and function.This definition is the most suitable
senseval2.d001.s032.t004	1) Used to form the superlative.
senseval2.d001.s032.t005	5) Commonly encountered
senseval2.d001.s032.t007	The most suitable dictionary definition which identifies the meaning of "forms" among the given options is:6) (physical chemistry)
senseval2.d001.s032.t010	5) Deprive of life
senseval2.d001.s032.t012	2) The English language as used in the United States
senseval2.d001.s032.t013	5) A period of time containing 365 (or 366) days
senseval2.d001.s033.t000	3) Precisely, exactly
senseval2.d001.s033.t001	2) At the present moment
senseval2.d001.s033.t002	2) In or to a reversed position or direction.
senseval2.d001.s033.t004	The most suitable dictionary definition which identifies the meaning of "laboratories" is:2) A workplace for the conduct of
senseval2.d001.s033.t005	2) The highest federal court in the United States; has final appellate jurisdiction and has jurisdiction over all other courts in the nation
senseval2.d001.s033.t008	2) Compete in a race
senseval2.d001.s033.t009	2) Belonging to the distant past.
senseval2.d001.s034.t000	The most suitable definition which identifies the meaning of "about" is:1) Used of movement to or among many different places
senseval2.d001.s035.t001	7) Speak, pronounce, or utter in a certain way
senseval2.d001.s035.t003	2) Without any others being included or involved
senseval2.d001.s035.t004	The most suitable dictionary definition which identifies the meaning of "combination" is:4) A collection of things that have been combined
senseval2.d001.s035.t005	3) Seem to be true, probable, or apparent
senseval2.d001.s035.t006	3) Of the greatest importance
senseval2.d001.s035.t007	8) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism
senseval2.d001.s035.t009	3) A whip used to inflict punishment (often used for pedantic humor)
senseval2.d001.s035.t010	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s035.t011	4) That part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the
senseval2.d001.s035.t012	5) a bag serving as a container for liquids; it is made from the hide of an animal
senseval2.d001.s035.t015	2) The part of an organism (human or animal) that connects the head to the rest of the body.
senseval2.d001.s036.t000	1) An indication that makes something evident
senseval2.d001.s036.t001	2) Any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage.
senseval2.d001.s036.t002	3) Receive by genetic transmissionThis definition explains that the sentence is talking about the genetic inheritance of the disease, specifically that
senseval2.d001.s036.t004	1) A written communication in a second language having the same meaning as the written communication in a first language
senseval2.d001.s036.t006	2) To a distinctly greater extent or degree than is common
senseval2.d001.s036.t007	3) The fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22
senseval2.d001.s036.t009	2) Serve as a reason or cause or justification of.
senseval2.d001.s036.t010	3) The item at the end.
senseval2.d001.s036.t011	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
senseval2.d001.s036.t012	3) Seem to be true, probable, or apparent
senseval2.d001.s036.t014	3) Having or feeling no doubt or uncertainty; confident and assured.This definition directly relates to the context of the sentence,
senseval2.d001.s036.t015	3) Primary social group; parents and children.The sentence is discussing genetic inheritance and the potential link between genes and cancer.
senseval2.d001.s037.t000	1) A serialized program usually dealing with sentimentalized family matters that is broadcast on radio or television (frequently sponsored by a
senseval2.d001.s037.t002	2) Return in thought or speech to something
senseval2.d001.s037.t005	7) Give the name or identifying characteristics of; refer to by name or some other identifying characteristic property
senseval2.d001.s037.t006	2) Make a proposal, declare a plan for something
senseval2.d001.s037.t008	2) Remove the stem from
senseval2.d001.s037.t009	2) Standing apart; not attached to or supported by anything.
senseval2.d001.s037.t010	2) Of or relating to the science of genetics
senseval2.d001.s037.t011	3) An imperfection in a bodily system.
senseval2.d001.s038.t000	3) To believe especially on uncertain or tentative grounds
senseval2.d001.s038.t001	The most suitable dictionary definition which identifies the meaning of "eye" among the given options is:5) The organ of sight
senseval2.d001.s038.t002	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s038.t004	3) Receive by genetic transmission
senseval2.d001.s038.t005	2) Being unjustly brought into disrepute
senseval2.d001.s038.t006	1) A reproduction of a written record (e.g. of a legal or school record).
senseval2.d001.s038.t008	2) An organism (plant or animal) from which younger ones are obtained
senseval2.d001.s038.t009	3) Conforming with or constituting a norm or standard or level or type or social norm; not abnormalIn this
senseval2.d001.s038.t010	4) a thing made to be similar or identical to another thing.
senseval2.d001.s039.t002	9) Cause to grow and differentiate in ways conforming to its natural developmentThe most suitable dictionary definition which identifies the meaning
senseval2.d001.s039.t003	2) Coming next after the first in position in space or time or degree or magnitude
senseval2.d001.s039.t004	2) In accordance with scientific laws
senseval2.d001.s039.t005	1) A reproduction of a written record (e.g. of a legal or school record).
senseval2.d001.s039.t007	2) Being unjustly brought into disrepute
senseval2.d001.s040.t000	9) a course of conduct.
senseval2.d001.s040.t001	3) Establish the validity of something, as by an example, explanation or experiment.
senseval2.d001.s040.t002	2) A belief that can guide behavior.
senseval2.d001.s041.t000	4) In or to or toward a past time.
senseval2.d001.s041.t001	2) At that time
senseval2.d001.s041.t003	9) A course of conduct.
senseval2.d001.s041.t005	2) (sometimes followed by `to') applying to or characteristic of something particular or special or unique.
senseval2.d001.s041.t008	8) Observe, check out, and look over carefully or inspect
senseval2.d001.s041.t009	2) A set of two similar things considered as a unit.
senseval2.d001.s041.t011	1) A small unit serving as part of or as the nucleus of a larger political movement.
senseval2.d001.s041.t012	3) Include or contain; have as a component
senseval2.d001.s042.t001	The most suitable definition is:4) Visible to the naked eye (especially of rocks and anatomical features)This definition accurately
senseval2.d001.s042.t003	3) Any harm or injury resulting from a violation of a legal right
senseval2.d001.s042.t004	2) Obvious to the eye.
senseval2.d001.s043.t000	8) Establish after a calculation, investigation, experiment, survey, or study
senseval2.d001.s043.t001	3) An immature childish person.
senseval2.d001.s043.t002	5) The organ of sight
senseval2.d001.s043.t003	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
senseval2.d001.s043.t004	3) Receive by genetic transmission.
senseval2.d001.s043.t005	1) Harmed or injured or spoiled.This definition is more suitable because it is the most direct and straightforward meaning of "
senseval2.d001.s043.t006	3) Material suitable for a journalistic account.
senseval2.d001.s043.t009	2) An organism (plant or animal) from which younger ones are obtained.
senseval2.d001.s044.t001	4) Used to imply that one would expect the fact to be the opposite of that stated; surprisingly
senseval2.d001.s044.t002	5) Receive as a specified guest
senseval2.d001.s044.t003	5) A short theatrical performance that is part of a longer program
senseval2.d001.s045.t000	7) Interpret something in a certain way; convey a particular meaning or impression.
senseval2.d001.s045.t002	11) A portion of a natural object.
senseval2.d001.s045.t003	4) Be capable of holding or containing
senseval2.d001.s045.t006	3) The act of losing someone or something
senseval2.d001.s045.t007	2) Forming or having the nature of a turning point or crisis.
senseval2.d001.s045.t008	1) The actions and activities assigned to or required or expected of a person or group.
senseval2.d001.s045.t009	3) Fire a shot
senseval2.d001.s045.t010	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s046.t000	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
senseval2.d001.s047.t000	The most suitable definition for "Then" is:2) At that timeThis definition accurately conveys the meaning of "
senseval2.d001.s047.t001	The most suitable dictionary definition which identifies the meaning of "scientific" is:1) Conforming with the principles or methods used
senseval2.d001.s047.t002	The most suitable dictionary definition which identifies the meaning of "team" is:4) a sport that involves competition between teams of
senseval2.d001.s047.t003	The most suitable dictionary definition which identifies the meaning of "led" among the given options is:8) Preside over
senseval2.d001.s047.t006	2) At that time
senseval2.d001.s047.t007	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
senseval2.d001.s047.t008	5) A statement that solves a problem or explains how to solve the problem.
senseval2.d001.s048.t000	2) A group of draft animals that work together to pull something.
senseval2.d001.s048.t001	4) use up, consume fully
senseval2.d001.s048.t002	2) A device that produces electricity; may have several primary or secondary cells arranged in parallel or series
senseval2.d001.s048.t004	1) Make visible by means of chemical solutionsExplanation: The correct definition is "Make visible by means of chemical solutions".
senseval2.d001.s048.t007	2) Of or relating to the science of genetics
senseval2.d001.s048.t008	3) The tangible substance that goes into the makeup of a physical object
senseval2.d001.s048.t011	3) An invisible spiritual being felt to be nearby
senseval2.d001.s048.t012	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
senseval2.d001.s049.t000	2) Make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
senseval2.d001.s049.t001	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
senseval2.d001.s049.t002	1) Take out of a literary work in order to cite or copyThis definition is suitable for "extracted" as
senseval2.d001.s049.t003	The most suitable dictionary definition which identifies the meaning of "eye" among the given options is:5) The organ of sight
senseval2.d001.s049.t005	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort
senseval2.d001.s049.t006	The most suitable definition is:3) An imperfection in a bodily systemIn the given sentence, the word "def
senseval2.d001.s049.t007	2) Coming next after the first in position in space or time or degree or magnitude.
senseval2.d001.s049.t008	3) Material suitable for a journalistic account.
senseval2.d001.s049.t010	2) Conforming exactly or almost exactly to fact or to a standard or performing with total accuracy.
senseval2.d001.s049.t012	3) Preceding all others in time or space or degreeThis definition identifies the meaning of "first" as the
senseval2.d001.s049.t013	3) Material suitable for a journalistic account
senseval2.d001.s050.t000	2) Something that is found
senseval2.d001.s050.t001	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
senseval2.d001.s051.t000	3) Preceding all others in time or space or degree.In this sentence, "first" refers to the initial
senseval2.d001.s051.t001	8) The continuum of experience in which events pass from the future through the present to the past.
senseval2.d001.s051.t002	7) Make visible or noticeable.
senseval2.d001.s051.t003	The most suitable dictionary definition which identifies the meaning of "loss" is:5) The number of wins versus losses and ties
senseval2.d001.s051.t004	3) Material suitable for a journalistic account
senseval2.d001.s051.t005	2) Closely similar or comparable in kind or quality or quantity or degree
senseval2.d001.s051.t007	2) Be in charge of
senseval2.d001.s051.t008	5) The sudden occurrence of a violent discharge of steam and volcanic material.
senseval2.d001.s051.t009	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini.
senseval2.d001.s052.t001	2) providing freedom from worry
senseval2.d001.s052.t002	7) Speak, pronounce, or utter in a certain way.
senseval2.d001.s052.t003	4) In these times
senseval2.d001.s053.t000	5) Not pretended; sincerely felt or expressed.
senseval2.d001.s053.t002	The most suitable definition which identifies the meaning of "true" is:11) Consistent with fact or reality; not false
senseval2.d001.s053.t003	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s054.t000	The most suitable dictionary definition which identifies the meaning of "audacious" is:3) Disposed to venture or take risks
senseval2.d001.s054.t001	5) A claim sufficient to demand judicial attention; the facts that give rise to right of action.
senseval2.d001.s055.t000	2) (used of living things especially persons) in an early period of life or development or growth.
senseval2.d001.s055.t003	2) Expect, believe, or suppose
senseval2.d001.s055.t004	The most suitable dictionary definition which identifies the meaning of "right" among the given options is:2) Most suitable or right
senseval2.d001.s055.t005	3) Leave
senseval2.d001.s055.t006	2) To say again or imitate
senseval2.d001.s055.t007	The most suitable definition is:1) The act of conducting a controlled test or investigationThis definition aligns with the context
senseval2.d001.s055.t008	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
senseval2.d001.s055.t009	2) Belonging to the distant past
senseval2.d001.s055.t010	3) The fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22
senseval2.d001.s056.t001	2) Two or more draft animals that work together to pull something
senseval2.d001.s056.t002	5) To give an account or representation of in words
senseval2.d001.s056.t003	2) Consisting of or involving two parts or components usually in pairs
senseval2.d001.s056.t005	1) Something that is lost.
senseval2.d001.s056.t007	2) The time of person's life when they are a child.
senseval2.d001.s056.t008	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
senseval2.d001.s056.t010	1) Utter a characteristic note or cryIn this context, "called" refers to the act of uttering a
senseval2.d001.s057.t001	2) Speak to
senseval2.d001.s057.t002	3) The work of providing treatment for or attending to someone or something.
senseval2.d001.s057.t005	2) Coming next after the first in position in space or time or degree or magnitude
senseval2.d001.s057.t006	7) Feeling self-importance.
senseval2.d001.s057.t007	3) The fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22
senseval2.d001.s057.t008	2) Someone who causes the death of a person or animal
senseval2.d001.s057.t009	2) The highest federal court in the United States; has final appellate jurisdiction and has jurisdiction over all other courts in the nation
senseval2.d001.s058.t000	2) Expect, believe, or suppose
senseval2.d001.s058.t004	2) Originate or come into being
senseval2.d001.s058.t006	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
senseval2.d001.s058.t008	2) In many cases or instances
senseval2.d001.s058.t009	3) Seem to be true, probable, or apparent
senseval2.d001.s058.t010	The most suitable dictionary definition which identifies the meaning of "develop" among the given options is:9) Cause to grow and
senseval2.d001.s058.t011	2) The theater as a profession (usually `the stage')
senseval2.d001.s059.t000	2) In many cases or instancesThe sentence is describing a situation where "often" is used to indicate the frequency or
senseval2.d001.s059.t001	2) Be the predecessor of
senseval2.d001.s059.t002	1) A process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
senseval2.d001.s059.t003	1) A salt or ester of polyphosphoric acid
senseval2.d001.s059.t005	The most suitable dictionary definition for the given sentence is:1) A problem requiring investigationThis definition best identifies the meaning of
senseval2.d001.s059.t006	2) Undergo a change or development
senseval2.d001.s059.t010	8) A specific identifiable position in a continuum or series or especially in a process.
senseval2.d001.s059.t011	3) Move forward, also in the metaphorical senseIn the context of the sentence, "progressing" is used
senseval2.d001.s059.t012	2) comparative of little
senseval2.d001.s059.t013	5) Intensely or extremely bad or unpleasant in degree or quality.
senseval2.d001.s059.t014	5) Causing or capable of causing death.
senseval2.d001.s059.t015	2) Of or relating to the science of genetics
senseval2.d001.s059.t016	4) The act of damaging something or someone.
senseval2.d001.s059.t017	2) Come to one's mind; suggest itself
senseval2.d001.s060.t001	2) A learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
senseval2.d001.s060.t002	7) Begin to speak or say he beganThis definition best matches the context of the sentence, as it is used to
senseval2.d001.s060.t003	2) One of the twelve divisions of the calendar year.
senseval2.d001.s060.t004	2) Using or containing too many words.
senseval2.d001.s060.t005	3) Frequently or in great quantities
senseval2.d001.s060.t009	2) Try to locate or discover, or try to establish the existence of
senseval2.d001.s060.t010	1) A fundamental linguistic unit linking a signifier to that which is signified--de Saussure
senseval2.d001.s060.t011	2) Of or relating to the science of genetics.
senseval2.d001.s060.t012	2) Loss of military equipment
senseval2.d001.s061.t000	7) Begin to speak or say he began.The sentence is describing the progression of genetic changes in cells, and "b
senseval2.d001.s061.t001	1) Lacking clarity of meaning; causing confusion or perplexity.
senseval2.d001.s061.t002	1) (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor
senseval2.d001.s061.t003	2) Of or relating to the science of genetics
senseval2.d001.s061.t004	The most suitable definition which identifies the meaning of "existing" is:1) Have an existence, be extantIn
senseval2.d001.s061.t005	The most suitable dictionary definition which identifies the meaning of "only" is:4) Except thatThis definition states that "
senseval2.d001.s061.t006	1) A salt or ester of polyphosphoric acid
senseval2.d001.s061.t008	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
senseval2.d001.s061.t010	The most suitable dictionary definition is:2) One of two forms that coelenterates take (e.g. a hy
senseval2.d001.s061.t012	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
senseval2.d001.s062.t001	1) Capable of thinking and expressing yourself in a clear and consistent manner.
senseval2.d001.s062.t002	1) A representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light
senseval2.d001.s062.t003	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s062.t004	The most suitable definition which identifies the meaning of "development" is:8) (biology) the process of an individual organism
senseval2.d001.s062.t005	4) Become known or apparent.
senseval2.d001.s063.t000	1) A reproduction of a written record (e.g. of a legal or school record).
senseval2.d001.s063.t001	2) Established beyond doubt or question; definitely known.
senseval2.d001.s063.t003	3) Empty (as of tobacco) by knocking out
senseval2.d001.s063.t004	3) A small vascular growth on the surface of a mucous membrane
senseval2.d001.s063.t005	4) Cause to grow and differentiate in ways conforming to its natural development
senseval2.d001.s064.t000	1) A reproduction of a written record (e.g. of a legal or school record).
senseval2.d001.s064.t001	2) Coming next after the first in position in space or time or degree or magnitude.
senseval2.d001.s064.t003	2) At that time
senseval2.d001.s064.t004	3) Wipe out digitally or magnetically recorded information
senseval2.d001.s064.t005	2) One of two forms that coelenterates take (e.g. a hydra or coral): usually sedent
senseval2.d001.s064.t007	2) (medicine) a malignant state; progressive and resistant to treatment and tending to cause death.
senseval2.d001.s065.t000	The most suitable dictionary definition which identifies the meaning of "clear" among the given options is:1) (especially of a
senseval2.d001.s065.t003	3) Suffer or be susceptible to damage
senseval2.d001.s065.t006	9) Cause to grow and differentiate in ways conforming to its natural development.
senseval2.d001.s066.t000	3) A written document describing the findings of some individual or group.
senseval2.d001.s066.t001	2) Cover with zinc
senseval2.d001.s066.t002	2) Belonging to the distant past
senseval2.d001.s067.t000	1) Serving to support or corroborate
senseval2.d001.s067.t001	4) Your basis for belief or disbelief; knowledge on which to base belief.
senseval2.d001.s067.t002	2) Have or feel a need for
senseval2.d001.s067.t004	The most suitable dictionary definition which identifies the meaning of "losses" is:4) The experience of losing a loved one
senseval2.d001.s067.t005	4) At or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain
senseval2.d001.s067.t006	8) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from
senseval2.d001.s067.t007	2) Belonging to or participated in by a community as a whole; public
senseval2.d001.s067.t009	7) Speak, pronounce, or utter in a certain way.
senseval2.d001.s068.t000	3) Used in negative statement to describe a situation that has existed up to this point or up to the present time
senseval2.d001.s068.t001	1) Attach something somewhere by means of nails.
senseval2.d001.s068.t002	3) The individual characteristics by which a thing or person is recognized or known.
senseval2.d001.s068.t004	3) Suffer or be susceptible to damage
senseval2.d001.s068.t005	The most suitable dictionary definition which identifies the meaning of "flipped" among the given options is:7) Look through a
senseval2.d001.s068.t006	1) A malignant tumor of the colon; early symptom is bloody stools.
senseval2.d001.s068.t007	1) A cell that is a structural and functional unit of a plant.
senseval2.d001.s068.t008	2) Having or displaying all the characteristics necessary for completeness
senseval2.d001.s068.t009	2) (medicine) a malignant state; progressive and resistant to treatment and tending to cause death.
senseval2.d001.s070.t000	1) A time unit of approximately 30 days.
senseval2.d001.s070.t002	4) use, consume fully.
senseval2.d001.s070.t005	4) Spatially or metaphorically from a higher to a lower level or position.
senseval2.d001.s070.t006	4) The linear extent in space from one end to the other; the longest dimension of something that is fixed in place.
senseval2.d001.s070.t008	2) Be excited or anxious about
senseval2.d001.s070.t009	5) commonly encountered.
senseval2.d001.s070.t010	1) A small amount of solid food; a mouthful
senseval2.d001.s070.t011	2) Of or relating to the science of genetics
senseval2.d001.s070.t012	3) The tangible substance that goes into the makeup of a physical object.
senseval2.d001.s070.t013	The most suitable dictionary definition which identifies the meaning of "lost" among the given options is:5) Fail to keep or
senseval2.d001.s070.t015	2) A cell that is a structural and functional unit of a plant
senseval2.d001.s071.t000	1) A separate part of a whole.
senseval2.d001.s071.t002	2) Easy to believe on the basis of available evidence.
senseval2.d001.s071.t003	The most suitable definition is:4) Form or composeIn the sentence "Such a piece of DNA would probably constitute a
senseval2.d001.s072.t000	5) Come to believe on the basis of emotion, intuitions, or indefinite grounds.
senseval2.d001.s072.t001	The most suitable dictionary definition which identifies the meaning of "last" is:4) Occurring at or forming an end or
senseval2.d001.s072.t003	2) Fraught with uncertainty or doubt
senseval2.d001.s072.t004	1) The activity of looking thoroughly in order to find something or someone.
senseval2.d001.s073.t000	2) Uncertainty about the truth or factuality or existence of something
senseval2.d001.s073.t001	2) Remove the stem from"Stemmed" is a verb that means to remove or cut off the stem of
senseval2.d001.s073.t002	3) An event known to have happened or something known to have existed.
senseval2.d001.s073.t003	2) Considered individually
senseval2.d001.s073.t004	5) A period of time containing 365 (or 366) days
senseval2.d001.s073.t005	2) Earlier in time; previously
senseval2.d001.s073.t007	4) perceive oneself to be in a certain condition or place
senseval2.d001.s073.t008	2) A venture at something new or different
senseval2.d001.s073.t009	2) A person who is quiet or timid.
senseval2.d001.s073.t011	The most suitable dictionary definition which identifies the meaning of "called" is:2) Make a stop in a harbour.In
senseval2.d001.s073.t012	3) Change or alter in form, appearance, or nature.
senseval2.d001.s073.t013	1) Being approximately average or within certain limits in e.g. intelligence and development.
senseval2.d001.s073.t014	3) a room where a prisoner is kept
senseval2.d001.s073.t015	2) Relating to or affected with cancer
