senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval2.d002.s014.t004	1) An inability to read
senseval2.d002.s015.t000	1) Of or relating to or characteristic of the continents and islands of the Americas
senseval2.d002.s015.t001	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instructionThis
senseval2.d002.s015.t002	2) The time yet to come
senseval2.d002.s015.t003	1) Decide upon or fix definitely
senseval2.d002.s015.t004	3) A position on a scale of intensity or amount or qualityIn the given sentence, "degree" is used to
senseval2.d002.s015.t005	1) Make it possible through a specific action or lack of action for something to happen
senseval2.d002.s015.t007	4) Use persuasion successfully
senseval2.d002.s015.t008	The most suitable dictionary definition for "illusions" in the given sentence is:2) Something many people believe that is false
senseval2.d002.s015.t010	2) Have, give, or receive a share of
senseval2.d002.s016.t000	1) The gradual process of acquiring knowledge
senseval2.d002.s016.t001	3) The persons (or committees or departments etc.) who make up a body for the purpose of administering something
senseval2.d002.s016.t002	1) Fight against or resist strongly
senseval2.d002.s017.t000	1) An explanation of the cause of some phenomenon
senseval2.d002.s017.t002	6) Having few parts; not complex or complicated or involved
senseval2.d002.s017.t003	1) An explanation of the cause of some phenomenon
senseval2.d002.s018.t000	The most suitable dictionary definition which identifies the meaning of "Progressive" in the given sentence is:5) Favoring or
senseval2.d002.s018.t001	The most suitable dictionary definition which identifies the meaning of "education" in the given sentence is:5) Knowledge acquired by learning
senseval2.d002.s018.t002	1) At a previous time
senseval2.d002.s018.t003	The most suitable dictionary definition which identifies the meaning of "called" in the sentence "Progressive education (as it was once
senseval2.d002.s018.t004	The most suitable dictionary definition for "far" in the given sentence is:3) At or to or from a certain point
senseval2.d002.s018.t005	1) Used to form the comparative of some adjectives and adverbs
senseval2.d002.s018.t007	3) Conforming to your own liking or feelings or nature
senseval2.d002.s018.t008	1) A person whose occupation is teaching
senseval2.d002.s018.t009	The most suitable dictionary definition for "disciplined" in the given sentence is:1) Trained mentally or physically by
senseval2.d002.s018.t010	The most suitable dictionary definition which identifies the meaning of "instruction" in the given sentence is:4) The activities of
senseval2.d002.s019.t000	2) Exhibiting courtesy and politenessIn the given sentence, "nice" is used to describe something that is pleasant
senseval2.d002.s019.t001	1) A person whose occupation is teaching
senseval2.d002.s019.t002	The most suitable dictionary definition which identifies the meaning of "think" in the given sentence is:11) Use or exercise
senseval2.d002.s019.t003	2) The complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
senseval2.d002.s019.t004	1) A process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
senseval2.d002.s019.t005	The most suitable dictionary definition which identifies the meaning of "even" in the given sentence is:5) To a greater degree
senseval2.d002.s019.t006	The most suitable dictionary definition for "nicer" in the given sentence is:5) Pleasant or pleasing or agreeable
senseval2.d002.s019.t007	The most suitable dictionary definition for "minimize" in the given sentence is:1) Make small or insignificantThe sentence
senseval2.d002.s019.t009	6) Any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc
senseval2.d002.s019.t010	2) In many cases or instances
senseval2.d002.s019.t012	3) A phenomenon that follows and is caused by some previous phenomenon
senseval2.d002.s020.t001	6) Give something useful or necessary to
senseval2.d002.s020.t002	1) A person whose occupation is teaching
senseval2.d002.s020.t003	2) The body of people in a learned occupation
senseval2.d002.s020.t004	The most suitable dictionary definition for "passed" in the given sentence is:10) Go successfully through a test or
senseval2.d002.s020.t005	6) Education imparted in a series of lessons or meetings
senseval2.d002.s020.t006	The most suitable dictionary definition for "educational" in the given sentence is:1) Providing knowledgeThis definition fits
senseval2.d002.s020.t008	The most suitable dictionary definition for "educational" in the given sentence is:1) Providing knowledgeThis definition fits
senseval2.d002.s020.t009	3) The rational investigation of questions about existence and knowledge and ethics
senseval2.d002.s021.t000	The most suitable dictionary definition for "took" in the sentence "I myself took such courses in college, thinking I might end
senseval2.d002.s021.t002	6) Education imparted in a series of lessons or meetings
senseval2.d002.s021.t003	1) An institution of higher education created to educate and grant degrees; often a part of a university
senseval2.d002.s021.t004	The most suitable dictionary definition for "thinking" in the given sentence is:11) Use or exercise the mind or
senseval2.d002.s022.t001	2) Without favoring one party, in a fair evenhanded manner
senseval2.d002.s022.t002	The most suitable dictionary definition for "described" in the sentence "They could all fairly be described as 'pap' courses
senseval2.d002.s022.t003	3) Soft food made by boiling oatmeal or other meal or legumes in water or milk until thick
senseval2.d002.s022.t004	The most suitable dictionary definition for "courses" in the given sentence is:6) Education imparted in a series of
senseval2.d002.s023.t002	1) A person whose occupation is teaching
senseval2.d002.s023.t003	2) (often followed by 'from') not alike; different in nature or quality
senseval2.d002.s023.t004	1) Providing knowledge
senseval2.d002.s023.t005	3) The persons (or committees or departments etc.) who make up a body for the purpose of administering something
senseval2.d002.s024.t000	The most suitable dictionary definition for "know" in the given sentence is:5) Be cognizant or aware of a
senseval2.d002.s024.t004	1) To a severe or serious degree
senseval2.d002.s024.t005	2) Bound or obligated, as under a pledge to a particular cause, action, or attitude.
senseval2.d002.s024.t007	The most suitable dictionary definition for "teaching" in the given sentence is:4) The activities of educating or instruct
senseval2.d002.s025.t000	1) (superlative of `good') having the most positive qualities
senseval2.d002.s025.t001	2) Characterized by quickness and ease in learning
senseval2.d002.s025.t002	5) All the people living at the same time or of approximately the same age
senseval2.d002.s025.t003	2) Used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal
senseval2.d002.s025.t006	3) (plural) any group of human beings (men or women or children) collectively
senseval2.d002.s026.t000	4) The principal activity in your life that you do to earn money
senseval2.d002.s026.t001	The most suitable dictionary definition for "well" in the sentence "But they need not be to do their jobs well" is
senseval2.d002.s027.t000	1) Recall knowledge from memory; have a recollection
senseval2.d002.s027.t001	1) With sincerity; without pretense
senseval2.d002.s027.t003	1) A person whose occupation is teaching
senseval2.d002.s028.t000	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instruction
senseval2.d002.s028.t001	2) Follow a certain course
senseval2.d002.s028.t003	3) Adequate for the purpose
senseval2.d002.s029.t000	4) The message that is intended or expressed or signified
senseval2.d002.s029.t001	1) A person whose occupation is teaching
senseval2.d002.s029.t002	1) Consider or describe as similar, equal, or analogous
senseval2.d002.s029.t003	1) A single person or thing
senseval2.d002.s030.t000	4) Having or marked by unusual and impressive intelligence
senseval2.d002.s030.t001	1) With considerable certainty; without much doubt
senseval2.d002.s031.t000	The most suitable dictionary definition for "competent" in the given sentence is:3) Adequate for the purpose
senseval2.d002.s031.t002	12) Promote, benefit, or be useful or beneficial to
senseval2.d002.s031.t003	The most suitable dictionary definition for "well" in the sentence "If he is competent and conscientious, he serves us well
senseval2.d002.s032.t000	1) A person whose occupation is teaching
senseval2.d002.s032.t001	1) Of extreme importance; vital to the resolution of a crisis
senseval2.d002.s032.t002	8) Anything that contributes causally to a result
senseval2.d002.s032.t003	1) Providing knowledge
senseval2.d002.s032.t004	1) A crucial stage or turning point in the course of something
senseval2.d002.s033.t000	The most suitable dictionary definition for "problem" in the given sentence is:1) A question raised for consideration or solution
senseval2.d002.s033.t001	4) The quality of being just or fair
senseval2.d002.s033.t002	The most suitable dictionary definition for "educational" in the given sentence is:1) Providing knowledgeThe sentence discusses
senseval2.d002.s033.t003	The most suitable dictionary definition for "problem" in the given sentence is:1) A question raised for consideration or solution
senseval2.d002.s034.t002	1) A person whose occupation is teaching
senseval2.d002.s034.t003	The most suitable dictionary definition for "think" in the given sentence is:5) Expect, believe, or supposeThe
senseval2.d002.s034.t004	1) Give an education to
senseval2.d002.s034.t005	2) A young person of either sex
senseval2.d002.s034.t006	2) Comparative of `well'; in a better or more excellent manner or more advantageously or attractively or to a greater
senseval2.d002.s034.t008	The most suitable dictionary definition which identifies the meaning of "got" in the sentence "It is silly libel on our teachers
senseval2.d002.s034.t010	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d002.s034.t011	1) Used to form the comparative of some adjectives and adverbs
senseval2.d002.s035.t002	1) A person whose occupation is teaching
senseval2.d002.s035.t003	10) An organization of employees formed to bargain with the employer
senseval2.d002.s035.t004	4) Be concerned with or about something or somebody
senseval2.d002.s035.t005	The most suitable dictionary definition for "spreading" in the given sentence is:3) Distribute or disperse widelyThis
senseval2.d002.s035.t007	1) Lacking tolerance or flexibility or breadth of view
senseval2.d002.s035.t008	2) An anticipated outcome that is intended or that guides your planned actions
senseval2.d002.s036.t003	2) A person active in party politics
senseval2.d002.s036.t004	The most suitable dictionary definition for "find" in the given sentence is:1) Receive a specified treatment (abstract)This
senseval2.d002.s036.t006	1) Be of use
senseval2.d002.s036.t007	2) Stop work in order to press demands
senseval2.d002.s036.t008	1) Inclined to help or support; not antagonistic or hostile
senseval2.d002.s036.t009	1) Manner of acting or controlling yourself
senseval2.d002.s036.t010	1) As the agent of or on someone's part (usually expressed as "on behalf of" rather than "in behalf
senseval2.d002.s036.t011	2) Of great significance or value
senseval2.d002.s037.t000	1) A small piece of cloth or paper
senseval2.d002.s037.t001	1) An indication that makes something evident
senseval2.d002.s037.t002	1) Not the same one or ones already mentioned or implied- the White Queen
senseval2.d002.s037.t003	4) Any attribute or quality considered as having its own existenceIn the sentence "But there is not one shred of evidence
senseval2.d002.s037.t004	1) Having the same quantity, value, or measure as another
senseval2.d002.s037.t006	1) A quality that differentiates between similar things
senseval2.d002.s037.t007	2) Come about or follow as a consequence
senseval2.d002.s037.t008	1) Providing knowledge
senseval2.d002.s037.t009	1) A quality that differentiates between similar things
senseval2.d002.s038.t001	The most suitable dictionary definition for "evidence" in the given sentence is:3) (law) all the means by
senseval2.d002.s038.t002	1) Having or feeling no doubt or uncertainty; confident and assured
senseval2.d002.s039.t000	1) Hope for; have a wish
senseval2.d002.s039.t001	4) Concerned with work or important matters rather than play or trivialities
senseval2.d002.s039.t002	1) Of or relating to or characteristic of the continents and islands of the Americas
senseval2.d002.s039.t003	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instructionThis
senseval2.d002.s039.t004	The most suitable dictionary definition which identifies the meaning of "know" in the given sentence is:5) Be cognizant
senseval2.d002.s039.t005	1) In a precise manner
senseval2.d002.s039.t006	2) And nothing more
senseval2.d002.s039.t007	2) Of great significance or value
senseval2.d002.s040.t002	The most suitable dictionary definition for "schools" in the given sentence is:11) A building where young people receive
senseval2.d002.s040.t003	1) Occurring or distributed over widely spaced and irregular intervals in time or space
senseval2.d002.s040.t005	4) Having little money or few possessions
senseval2.d002.s040.t006	2) Closely similar or comparable in kind or quality or quantity or degree
senseval2.d002.s041.t001	1) The property resulting from being or relating to the greater in number of two parts; the main part
senseval2.d002.s041.t003	The most suitable dictionary definition which identifies the meaning of "schools" in the given sentence is:11) A building
senseval2.d002.s041.t004	The most suitable dictionary definition which identifies the meaning of "know" in the given sentence is:5) Be cognizant
senseval2.d002.s041.t005	2) A series of actions advancing a principle or tending toward a particular end
senseval2.d002.s041.t006	1) Providing knowledge
senseval2.d002.s041.t007	1) A campaign aimed to correct abuses or malpractices
senseval2.d002.s041.t008	1) Marked by or promising bad fortune
senseval2.d002.s042.t000	1) In actual fact
senseval2.d002.s042.t001	The most suitable dictionary definition for "know" in the given sentence is:5) Be cognizant or aware of a
senseval2.d002.s042.t002	The most suitable dictionary definition for "need" in the given sentence is:2) Have or feel a need forThis
senseval2.d002.s042.t003	The most suitable dictionary definition for "know" in the given sentence is:5) Be cognizant or aware of a
senseval2.d002.s042.t005	3) Take up mentally
senseval2.d002.s043.t000	1) (usually preceded by `in') a detail or point
senseval2.d002.s043.t004	The most suitable dictionary definition for "mute" in the given sentence is:2) Expressed without speechIn the
senseval2.d002.s043.t005	The most suitable dictionary definition for "rather" in the given sentence is:2) More readily or willinglyThe sentence implies
senseval2.d002.s043.t007	2) Involved in or affected by or having a claim to or share in
senseval2.d002.s044.t001	1) (often followed by `to') having a preference, disposition, or tendency
senseval2.d002.s044.t002	2) Ring or echo with sound
senseval2.d002.s044.t003	4) Following accepted customs and proprieties
senseval2.d002.s044.t004	2) Worthless or oversimplified ideas
senseval2.d002.s045.t000	1) In the way indicated; (`thusly' is a nonstandard variant)In the context of the sentence, "
senseval2.d002.s045.t001	1) Of the immediate past or just previous to the present time
senseval2.d002.s045.t002	3) The head of a state government
senseval2.d002.s045.t003	2) A discussion among participants who have an agreed (serious) topic
senseval2.d002.s045.t004	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instructionThis
senseval2.d002.s045.t005	1) Make known; make an announcement
senseval2.d002.s045.t006	2) A politically organized body of people under a single government
senseval2.d002.s045.t007	The most suitable dictionary definition for "needs" in the given sentence is:2) Have or feel a need for
senseval2.d002.s045.t009	1) A line of argument rationalizing the course of action of a government
senseval2.d002.s045.t010	2) A young person of either sex
senseval2.d002.s046.t001	1) A process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
senseval2.d002.s046.t002	1) A line of argument rationalizing the course of action of a government
senseval2.d002.s046.t003	3) The head of a state government
senseval2.d002.s046.t004	3) Seem to be true, probable, or apparent
senseval2.d002.s046.t005	1) Used to form the comparative of some adjectives and adverbs
senseval2.d002.s046.t007	2) Anything that is necessary but lacking
senseval2.d002.s047.t002	The most suitable dictionary definition for "extending" in the given sentence is:1) Extend in scope or range or
senseval2.d002.s047.t003	1) Providing knowledge
senseval2.d002.s047.t004	3) Instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
senseval2.d002.s048.t000	2) Worth having or seeking or achieving
senseval2.d002.s048.t002	The most suitable dictionary definition for "program" in the given sentence is:2) A planned undertakingThis definition captures the
senseval2.d002.s048.t003	1) Providing knowledge
senseval2.d002.s048.t004	The most suitable dictionary definition for "program" in the given sentence is:2) A planned undertakingThis definition captures the
senseval2.d002.s049.t000	The most suitable dictionary definition for "know" in the given sentence is:5) Be cognizant or aware of a
senseval2.d002.s049.t001	2) Used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal
senseval2.d002.s049.t002	1) At or near the beginning of a period of time or course of events or before the usual or expected time
senseval2.d002.s049.t003	8) Presentation to view in an open or public manner
senseval2.d002.s049.t004	2) The act of teaching at school
senseval2.d002.s049.t005	1) Get better
senseval2.d002.s049.t006	The most suitable dictionary definition for "performance" in the given sentence is:5) Process or manner of functioning or operating
senseval2.d002.s049.t007	3) Preceding all others in time or space or degree
senseval2.d002.s049.t008	8) A number or letter indicating quality (especially of a student's performance).
senseval2.d002.s049.t010	1) A variation that deviates from the standard or norm
senseval2.d002.s049.t011	1) With little or no delay
senseval2.d002.s049.t013	The most suitable dictionary definition for "washed away" in the given sentence is:2) EliminateIn the context
senseval2.d002.s050.t000	1) Give a summary (of)
senseval2.d002.s050.t001	The most suitable dictionary definition which identifies the meaning of "know" in the given sentence is:5) Be cognizant
senseval2.d002.s050.t002	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instructionThis
senseval2.d002.s050.t003	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instructionThis
senseval2.d002.s050.t004	The most suitable dictionary definition for "reforms" in the given sentence is:1) A campaign aimed to correct abuses or
senseval2.d002.s050.t005	The most suitable dictionary definition which identifies the meaning of "work" in the given sentence is:14) Have an effect
senseval2.d002.s050.t006	The most suitable dictionary definition which identifies the meaning of "work" in the given sentence is:14) Have an effect
senseval2.d002.s050.t007	2) Relating to or characteristic of or befitting a parent
senseval2.d002.s050.t008	1) The act of sharing in the activities of a group
senseval2.d002.s050.t009	2) Having undesirable or negative qualities
senseval2.d002.s050.t010	2) A personal view
senseval2.d002.s051.t000	1) A father or mother; one who begets or one who gives birth to or nurtures and raises a child;
senseval2.d002.s051.t001	1) To a degree exceeding normal or proper limits
senseval2.d002.s051.t002	2) Has a good chance of being the case or of coming about
senseval2.d002.s051.t003	1) Attribute responsibility to
senseval2.d002.s051.t004	2) An educational institution
senseval2.d002.s051.t005	1) Providing knowledge
senseval2.d002.s051.t006	2) The quality of being limited or restricted
senseval2.d002.s051.t007	2) A young person of either sex
senseval2.d002.s052.t000	1) A father or mother; one who begets or one who gives birth to or nurtures and raises a child;
senseval2.d002.s052.t001	1) Connected by participation or association or use
senseval2.d002.s052.t002	2) A young person of either sex
senseval2.d002.s052.t003	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instruction
senseval2.d002.s052.t004	1) A dwelling that serves as living quarters for one or more families
senseval2.d002.s053.t000	The most suitable dictionary definition which identifies the meaning of "see" in the given sentence is:20) Be careful or
senseval2.d002.s053.t001	3) A human offspring (son or daughter) of any age
senseval2.d002.s053.t002	The most suitable dictionary definition which identifies the meaning of "play" in the given sentence is:30) Engage in
senseval2.d002.s053.t006	2) A young person of either sex
senseval2.d002.s053.t007	The most suitable dictionary definition for "spend" in the given sentence is:2) Pass time in a specific way
senseval2.d002.s053.t009	7) A period of time considered as a resource under your control and sufficient to accomplish something.
senseval2.d002.s053.t011	The most suitable dictionary definition for "scrutinize" in the given sentence is:1) To look at critically or
senseval2.d002.s054.t000	1) A father or mother; one who begets or one who gives birth to or nurtures and raises a child;
senseval2.d002.s054.t002	2) One of a number of things from which only one can be chosen
senseval2.d002.s054.t003	1) Make a shift in or exchange of
senseval2.d002.s055.t000	2) A group of people living in a particular local area
senseval2.d002.s055.t001	1) The act of sharing in the activities of a group
senseval2.d002.s055.t002	The most suitable dictionary definition which identifies the meaning of "even" in the sentence "Community involvement is an even worse idea"
senseval2.d002.s055.t003	1) (comparative of `bad') inferior to another in quality or condition or desirability
senseval2.d002.s055.t004	2) A personal view
senseval2.d002.s056.t000	1) In or at this place; where the speaker or writer is
senseval2.d002.s057.t000	1) By a particular locality
senseval2.d002.s057.t003	1) In a special manner
senseval2.d002.s057.t005	1) A large and densely populated urban area; may include several independent administrative districts
senseval2.d002.s057.t006	1) Enter or assume a certain state or condition
senseval2.d002.s057.t007	1) Requiring full use of your abilities or resources
senseval2.d002.s057.t008	3) Usually; as a rule
senseval2.d002.s057.t009	2) Not straight; dishonest or immoral or evasiveThe sentence describes "corrupt" politicians as
senseval2.d002.s057.t012	1) Of or belonging to or characteristic of a particular locality or neighborhood
senseval2.d002.s057.t013	2) A person active in party politics
senseval2.d002.s057.t015	2) A person active in party politics
senseval2.d002.s058.t000	10) A particular course of action intended to achieve a result
senseval2.d002.s058.t001	6) Make an effort or attempt
senseval2.d002.s058.t002	3) Instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
senseval2.d002.s058.t003	The most suitable dictionary definition which identifies the meaning of "school" in the given sentence is:11) A building where
senseval2.d002.s058.t004	2) The persons (or committees or departments etc.) who make up a body for the purpose of administering something
senseval2.d002.s058.t005	3) In fact (used as intensifiers or sentence modifiers)In the given sentence, "even" is used to indicate
senseval2.d002.s058.t006	1) Not the same one or ones already mentioned or implied- the White Queen
senseval2.d002.s058.t007	1) A large and densely populated urban area; may include several independent administrative districts
senseval2.d002.s058.t008	The most suitable dictionary definition for "institute" in the given sentence is:1) Set up or lay the groundwork
senseval2.d002.s059.t000	1) The superlative of `much' that can be used with mass nouns and is usually preceded by `the';
senseval2.d002.s059.t002	2) The act of spending money for goods or services
senseval2.d002.s059.t003	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instructionThis
senseval2.d002.s059.t005	The most suitable dictionary definition for "circumstances" in the given sentence is:2) The set of facts or circumstances
senseval2.d002.s059.t006	1) With considerable certainty; without much doubt
senseval2.d002.s059.t007	The most suitable dictionary definition for "make" in the given sentence is:44) Give rise to; cause to happen
senseval2.d002.s059.t008	10) A vaguely specified concern
senseval2.d002.s059.t009	1) (comparative of `bad') inferior to another in quality or condition or desirability
senseval2.d002.s059.t010	The most suitable dictionary definition for "better" in the given sentence is:1) (comparative and superlative of
senseval2.d002.s060.t000	1) An explanation of the cause of some phenomenon
senseval2.d002.s060.t001	The most suitable dictionary definition for "simple" in the given sentence is:7) Easy and not involved or complicatedThe
senseval2.d002.s060.t002	The most suitable dictionary definition for "Education" in the given sentence is:1) The gradual process of acquiring knowledge
senseval2.d002.s060.t005	2) The effect of one thing (or person) on another
senseval2.d002.s060.t006	1) The most common medium of exchange; functions as legal tender
senseval2.d002.s061.t000	1) A period of 10 years
senseval2.d002.s061.t001	1) Providing knowledge
senseval2.d002.s061.t003	2) Give evidence
senseval2.d002.s061.t005	3) In fact (used as intensifiers or sentence modifiers)In the given sentence, "even" is used to emphasize
senseval2.d002.s061.t007	2) A unit of instruction
senseval2.d002.s061.t008	The most suitable dictionary definition for "effect" in the given sentence is:6) A phenomenon that follows and is caused by
senseval2.d002.s061.t009	1) Hypothetical or theoretical and not expected to produce an immediate or practical result
senseval2.d002.s061.t010	The most suitable dictionary definition which identifies the meaning of "performance" in the given sentence is:5) Process or manner of
senseval2.d002.s061.t011	1) A young person attending school (up through senior high school)
senseval2.d002.s061.t013	2) Worth having or seeking or achieving
senseval2.d002.s061.t014	1) Not the same one or ones already mentioned or implied- the White Queen
senseval2.d002.s061.t015	2) A justification for something existing or happening
senseval2.d002.s062.t000	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d002.s062.t001	1) The most common medium of exchange; functions as legal tender
senseval2.d002.s062.t002	3) Move along, of liquids
senseval2.d002.s062.t007	1) Arrange into piles or stacks
senseval2.d002.s062.t008	1) (comparative of `many' used with count nouns) quantifier meaning greater in number
senseval2.d002.s062.t009	1) (comparative of `many' used with count nouns) quantifier meaning greater in number
senseval2.d002.s062.t011	1) A person whose occupation is teaching
senseval2.d002.s063.t000	1) Something that baffles understanding and cannot be explained
senseval2.d002.s063.t002	2) A piece of information about circumstances that exist or events that have occurred
senseval2.d002.s063.t003	The most suitable dictionary definition for "educational" in the given sentence is:1) Providing knowledgeThis definition best
senseval2.d002.s063.t004	2) The act of spending money for goods or services
senseval2.d002.s063.t005	6) Of, relating to, or representing an amount that is corrected for inflation
senseval2.d002.s063.t006	1) Make bigger or more
senseval2.d002.s063.t007	3) Very suddenly and to a great degree
senseval2.d002.s063.t008	2) Earlier than the present time; no longer current
senseval2.d002.s063.t009	2) At the present moment
senseval2.d002.s063.t010	The most suitable dictionary definition which identifies the meaning of "spend" in the given sentence is:3) Pay out
senseval2.d002.s063.t011	1) Used to form the comparative of some adjectives and adverbs
senseval2.d002.s063.t012	1) A young person attending school (up through senior high school)
senseval2.d002.s063.t013	1) Not the same one or ones already mentioned or implied- the White Queen
senseval2.d002.s063.t014	2) A politically organized body of people under a single government
senseval2.d002.s063.t015	The most suitable dictionary definition for "educational" in the given sentence is:1) Providing knowledgeThis definition best
senseval2.d002.s063.t016	The most suitable dictionary definition which identifies the meaning of "performance" in the given sentence is:5) Process or manner of
senseval2.d002.s063.t017	1) Grow worse
senseval2.d002.s064.t000	3) How something is done or how it happens
senseval2.d002.s065.t000	1) A learner who is enrolled in an educational institution
senseval2.d002.s065.t001	1) Providing knowledge
senseval2.d002.s065.t002	1) Hypothetical or theoretical and not expected to produce an immediate or practical result
senseval2.d002.s065.t003	1) The inherent capacity for coming into being
senseval2.d002.s065.t004	1) Make it possible through a specific action or lack of action for something to happen
senseval2.d002.s066.t000	1) A learner who is enrolled in an educational institution
senseval2.d002.s066.t001	2) Consent to, give permission
senseval2.d002.s066.t002	2) Receive an academic degree upon completion of one's studies
senseval2.d002.s066.t004	1) Be or become completely proficient or skilled in
senseval2.d002.s066.t005	1) A position on a scale of intensity or amount or qualityThis definition is the most suitable because "level" in
senseval2.d002.s066.t006	1) Continue to exist
senseval2.d002.s066.t007	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d002.s067.t000	3) Have in mind as a purpose
senseval2.d002.s067.t001	The most suitable dictionary definition for "main" in the given sentence is:3) Most important elementIn the context of
senseval2.d002.s067.t002	2) An anticipated outcome that is intended or that guides your planned actions
senseval2.d002.s067.t004	The most suitable dictionary definition for "permit" in the given sentence is:2) Consent to, give permission
senseval2.d002.s067.t007	2) Grow vigorously
senseval2.d002.s067.t008	3) Without doubt or question
senseval2.d002.s067.t009	2) Worth having or seeking or achieving
senseval2.d002.s067.t010	The most suitable dictionary definition for "less" in the given sentence is:1) Used to form the comparative of some adject
senseval2.d002.s067.t012	The most suitable dictionary definition which identifies the meaning of "get" in the given sentence is:37) Acquire as
senseval2.d002.s067.t013	The most suitable dictionary definition for "necessary" in the given sentence is:4) Absolutely essentialThe sentence implies
senseval2.d002.s067.t014	9) Applying the mind to learning and understanding a subject (especially by reading)
senseval2.d002.s067.t015	3) To come or go into
senseval2.d002.s067.t017	The most suitable dictionary definition for "world" in the given sentence is:4) People in general; especially a distinctive group
senseval2.d002.s067.t018	The most suitable dictionary definition which identifies the meaning of "work" in the given sentence is:11) Use of physical
senseval2.d002.s068.t000	1) An abstract or general idea inferred or derived from specific instances
senseval2.d002.s069.t000	2) An anticipated outcome that is intended or that guides your planned actions
senseval2.d002.s069.t001	The most suitable dictionary definition for "education" in the given sentence is:5) Knowledge acquired by learning and instruction
senseval2.d002.s069.t002	1) Inspire with confidence; give hope or courage to
senseval2.d002.s069.t003	2) (used of living things especially persons) in an early period of life or development or growth
senseval2.d002.s069.t004	11) An adult person who is male (as opposed to a woman)
senseval2.d002.s069.t005	2) An adult female person (as opposed to a man)
senseval2.d002.s069.t006	The most suitable dictionary definition for "realize" in the given sentence is:5) Be fully aware or cognizant
senseval2.d002.s069.t007	3) Containing as much or as many as is possible or normal
senseval2.d002.s069.t008	1) Hypothetical or theoretical and not expected to produce an immediate or practical result
senseval2.d002.s069.t009	1) The inherent capacity for coming into being
senseval2.d002.s070.t000	3) In actual fact
senseval2.d002.s070.t001	1) Accept as true; take to be true
senseval2.d002.s070.t002	1) Having the same quantity, value, or measure as another
senseval2.d002.s070.t003	1) Hypothetical or theoretical and not expected to produce an immediate or practical result
senseval2.d002.s070.t004	1) The inherent capacity for coming into being
senseval2.d002.s071.t000	3) Usually; as a rule
senseval2.d002.s071.t001	2) Worth having or seeking or achieving
senseval2.d002.s071.t002	The most suitable dictionary definition for "use" in the given sentence is:5) Seek or achieve an end by using to
senseval2.d002.s071.t005	2) More readily or willingly
senseval2.d002.s071.t006	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d002.s071.t007	1) A single person or thing
senseval2.d002.s072.t003	2) In many cases or instances
senseval2.d002.s073.t000	1) Open to doubt or suspicion
senseval2.d002.s073.t001	1) Of or relating to or determined by psychology
senseval2.d002.s073.t004	The most suitable dictionary definition for "rather" in the given sentence is:2) More readily or willinglyThe sentence implies
senseval2.d002.s073.t005	The most suitable dictionary definition for "educational" in the given sentence is:1) Providing knowledgeThis definition best
senseval2.d002.s073.t006	The most suitable dictionary definition which identifies the meaning of "experience" in the given sentence is:1) The content of
senseval2.d002.s074.t000	1) An explanation of the cause of some phenomenon
senseval2.d002.s074.t001	1) Of or relating to or characteristic of the continents and islands of the Americas
senseval2.d002.s074.t002	1) A learner who is enrolled in an educational institution
senseval2.d002.s074.t003	The most suitable dictionary definition which identifies the meaning of "so" in the given sentence is:2) (usually followed by
senseval2.d002.s074.t006	The most suitable dictionary definition for "compared" in the given sentence is:3) Examine and note the similarities or
senseval2.d002.s074.t011	1) A learner who is enrolled in an educational institution
senseval2.d002.s074.t012	2) The effect of one thing (or person) on another
senseval2.d002.s074.t013	1) Of or relating to or characteristic of the continents and islands of the Americas
senseval2.d002.s075.t000	4) Feel or have a desire for; want strongly
senseval2.d002.s075.t001	2) Be fully aware of; realize fully
senseval2.d002.s075.t002	The most suitable dictionary definition for "just" in the given sentence is:2) And nothing moreThe sentence is using
senseval2.d002.s075.t004	2) The general state of things; the combination of circumstances at a given time
senseval2.d002.s075.t005	1) A learner who is enrolled in an educational institution
senseval2.d002.s075.t006	4) Make an addition by combining numbers
senseval2.d002.s075.t007	1) Make a subtraction
