senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval2.d002.s066.t006	4) Use persuasion successfullyIn this context, "prevailed" means to have been effective in persuading or influencing something
senseval2.d002.s066.t007	5) A period of time containing 365 (or 366) days.This definition is the most suitable because the sentence
senseval2.d002.s067.t000	The most suitable dictionary definition which identifies the meaning of "means" among the given options is:3) Have in mind as
senseval2.d002.s067.t001	3) Most important elementThe sentence implies that the main purpose is the most significant or primary reason, and "main"
senseval2.d002.s067.t002	2) An anticipated outcome that is intended or that guides your planned actions.The sentence implies that the purpose of the program is
senseval2.d002.s067.t004	1) Make it possible through a specific action or lack of action for something to happenIn this sentence, "permit"
senseval2.d002.s067.t007	2) Grow vigorously.
senseval2.d002.s067.t008	4) Clear to the mind; with distinct mental discernment.This definition captures the meaning of "clearly" in the
senseval2.d002.s067.t009	2) Worth having or seeking or achieving.The sentence implies that having the gifted youngsters flourish is a desirable outcome, meaning it
senseval2.d002.s067.t010	2) Comparative of littleIn this sentence, "less" is used as the comparative form of "little", indicating a
senseval2.d002.s067.t012	The most suitable dictionary definition for the word "get" in the given sentence is:9) Go or come after and bring
senseval2.d002.s067.t013	4) Absolutely essentialThe sentence implies that the purpose of the program is not just beneficial, but crucial for the less gifted
senseval2.d002.s067.t014	9) Applying the mind to learning and understanding a subject (especially by reading).This definition best captures the meaning of "study
senseval2.d002.s067.t015	1) Become a participant; be involved in
senseval2.d002.s067.t017	8) People in general considered as a whole.This definition of "world" best fits the context of the sentence, as
senseval2.d002.s067.t018	1) A product produced or accomplished through the effort or activity or agency of a person or thingThis definition best describes the
senseval2.d002.s068.t000	1) An abstract or general idea inferred or derived from specific instances.
senseval2.d002.s069.t000	2) An anticipated outcome that is intended or that guides your planned actions.This definition best captures the meaning of "purpose"
senseval2.d002.s069.t001	5) Knowledge acquired by learning and instruction.This definition directly describes the meaning of "education" as the process of acquiring knowledge
senseval2.d002.s069.t002	1) Inspire with confidence; give hope or courage to.This definition best captures the meaning of "encourage" in
senseval2.d002.s069.t003	2) (used of living things especially persons) in an early period of life or development or growth.This definition best fits
senseval2.d002.s069.t004	12) The generic use of the word to refer to any human being
senseval2.d002.s069.t005	2) An adult female person (as opposed to a man)
senseval2.d002.s069.t006	2) Perceive (an idea or situation) mentally.This definition captures the meaning of "realize" in the given
senseval2.d002.s069.t007	4) Complete in extent or degree and in every particular.This definition best captures the meaning of "full" in the sentence
senseval2.d002.s069.t008	3) Associated with academia or an academy.This definition fits the context of the sentence, as "academic potential" refers to
senseval2.d002.s069.t009	1) The inherent capacity for coming into beingThis definition best matches the meaning of "potential" in the sentence, as
senseval2.d002.s070.t000	6) In fact (used as intensifiers or sentence modifiers)In this sentence, "actually" is used to intensify
senseval2.d002.s070.t001	1) Accept as true; take to be true
senseval2.d002.s070.t002	1) Having the same quantity, value, or measure as another
senseval2.d002.s070.t003	3) Associated with academia or an academy.This definition best fits the context of the sentence, as "academic" is often
senseval2.d002.s070.t004	1) The inherent capacity for coming into beingIn this context, "potential" refers to the natural ability or capacity for
senseval2.d002.s071.t000	3) Usually; as a ruleThis definition best fits the context of the sentence, as it implies that "generally
senseval2.d002.s071.t001	2) Worth having or seeking or achieving.This definition of "desirable" fits the context of the sentence, as the
senseval2.d002.s071.t002	1) Avail oneself toThe sentence is saying that it is generally desirable to make oneself available or take advantage of older
senseval2.d002.s071.t005	3) To some (great or small) extent.The sentence implies that it is preferable to use older textbooks rather than newer
senseval2.d002.s071.t006	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered.
senseval2.d002.s071.t007	1) A single person or thing
senseval2.d002.s072.t003	3) Frequently or in great quantities.This definition best matches the meaning of "often" in the sentence, which suggests that
senseval2.d002.s073.t000	1) Open to doubt or suspicion
senseval2.d002.s073.t001	1) Of or relating to or determined by psychology
senseval2.d002.s073.t004	3) To some (great or small) extent.The word "rather" is used to indicate that something is done or
senseval2.d002.s073.t005	2) Relating to the process of education.This definition best captures the meaning of "educational" as it specifically refers
senseval2.d002.s073.t006	3) The accumulation of knowledge or skill that results from direct participation in events or activities.
senseval2.d002.s074.t000	1) An explanation of the cause of some phenomenonThis definition fits best because "reasons" refers to the underlying cause
senseval2.d002.s074.t001	2) Of or relating to the United States of America or its people or language or culture.
senseval2.d002.s074.t002	1) A learner who is enrolled in an educational institution.
senseval2.d002.s074.t003	The correct answer is:2) (usually followed by `that') to an extent or degree as expressedThis definition fits
senseval2.d002.s074.t006	2) Be comparableThis definition most accurately captures the meaning of "compared" in the given sentence, as it indicates
senseval2.d002.s074.t011	1) A learner who is enrolled in an educational institution
senseval2.d002.s074.t012	2) The effect of one thing (or person) on another.
senseval2.d002.s074.t013	2) Of or relating to the United States of America or its people or language or culture.
senseval2.d002.s075.t000	4) Feel or have a desire for; want strongly.The sentence implies that the person has a strong desire to read the
senseval2.d002.s075.t001	2) Be fully aware of; realize fully.In this context, "appreciate" means to understand or comprehend something
senseval2.d002.s075.t002	6) Indicating exactness or preciseness.In this sentence, "just" is used to indicate exactness or
senseval2.d002.s075.t004	2) The general state of things; the combination of circumstances at a given time.This definition best captures the meaning of "
senseval2.d002.s075.t005	1) A learner who is enrolled in an educational institution
senseval2.d002.s075.t006	4) Make an addition by combining numbers.This definition of "add" is the most suitable because it specifically refers to the
senseval2.d002.s075.t007	2) Take off or awayThe sentence suggests that the students are unable to subtract or remove the concept of "learning"
senseval2.d002.s075.t008	2) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
senseval2.d002.s075.t010	3) The fundamental assumptions from which something is begun or developed or calculated or explained.This definition fits the context of the sentence
senseval2.d002.s075.t011	1) Of or pertaining to or of the nature of mathematics
senseval2.d002.s075.t013	3) Interpret something that is written or printed
senseval2.d002.s075.t014	2) Nonfictional prose forming an independent part of a publication.This definition best fits the context of the sentence, as
senseval2.d002.s075.t015	2) NewThe word "recent" generally means something that has happened or existed not long ago. In the context of
senseval2.d002.s075.t017	6) A university student who is studying a particular field as the principal subject.In this context, "major" refers to
senseval2.d002.s076.t000	2) Used to form the superlativeIn the sentence, "Most" is used to indicate the highest or greatest
senseval2.d002.s076.t001	2) Of great significance or valueThis definition captures the meaning of "important" in the given sentence, as it implies
senseval2.d002.s076.t002	12) The body of teachers and administrators at a school.
senseval2.d002.s076.t003	7) The educator who has executive authority for a school.
senseval2.d002.s076.t004	2) Above average in size or number or quantity or magnitude or extent.This definition best fits the context of the sentence,
senseval2.d002.s076.t005	5) How much there is or how many there are of something that you can quantifyIn this sentence, "measure"
senseval2.d002.s076.t006	1) The power or right to give orders or make decisions
senseval2.d002.s076.t007	2) The body of teachers and administrators at a school.This definition best matches the context of the sentence, where "faculty
senseval2.d002.s076.t009	6) Some situation or event that is thought about.This definition best fits the context of the sentence, where "matters
senseval2.d002.s076.t010	1) A learner who is enrolled in an educational institution.
senseval2.d002.s077.t000	9) Applying the mind to learning and understanding a subject (especially by reading).
senseval2.d002.s077.t001	9) Applying the mind to learning and understanding a subject (especially by reading)This definition best matches the context of the sentence
senseval2.d002.s077.t002	3) (of actions or states) slightly short of or not quite accomplished; all but
senseval2.d002.s077.t004	8) Narrate or give a detailed account of
senseval2.d002.s077.t005	1) (superlative of `good') having the most positive qualitiesIn this context, "best" is used
senseval2.d002.s077.t006	2) An educational institution
senseval2.d002.s077.t007	10) Originating or belonging beyond some bounds: "the outside world"This definition is the most suitable because in the given
senseval2.d002.s077.t008	5) The act of hindering or obstructing or impeding
senseval2.d002.s077.t009	2) Direct or strongly influence the behavior of.In this context, "governed" means to be controlled or influenced
senseval2.d002.s077.t010	2) Having great power or force or potency or effect.This definition best captures the meaning of "powerful" in the
senseval2.d002.s077.t011	The most suitable dictionary definition which identifies the meaning of "head" in the given sentence is:4) A person who rules
senseval2.d002.s078.t000	1) The power or right to give orders or make decisions
senseval2.d002.s078.t002	2) Be present or associated with an event or entity.In this sentence, "goes" is used to indicate that
senseval2.d002.s078.t003	The most suitable dictionary definition for the word "unambiguous" in the given sentence is:1) Admitting of no
senseval2.d002.s079.t000	12) The body of teachers and administrators at a school.
senseval2.d002.s079.t002	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
senseval2.d002.s079.t003	6) Give rise to; cause to happen or occur, not always intentionally.The sentence suggests that the structure of the school
senseval2.d002.s079.t004	1) A learner who is enrolled in an educational institution
senseval2.d002.s079.t005	7) Greater than normal in degree or intensity or amount.
senseval2.d002.s079.t006	1) A state of individual psychological well-being based upon a sense of confidence and usefulness and purposeThis definition best captures the
senseval2.d002.s079.t007	2) Of high or superior quality or performance.
senseval2.d002.s079.t008	3) Associated with academia or an academy.This definition aligns with the context of the sentence, which is discussing the outcome
senseval2.d002.s079.t009	7) The act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it.This definition best captures
senseval2.d002.s080.t000	6) A statement or assertion of verified information about something that is the case or has happened.This definition best fits the context
senseval2.d002.s080.t001	9) To walk with a lofty proud gait, often in an attempt to impress others.In this sentence, "r
senseval2.d002.s080.t002	6) A statement or assertion of verified information about something that is the case or has happened.This definition best captures the meaning
senseval2.d002.s080.t004	1) A single person or thing
senseval2.d002.s080.t005	10) To a very great extent or degree
senseval2.d002.s081.t000	2) Have (one's written work) issued for publication.
senseval3.d000.s000.t000	12) The generic use of the word to refer to any human being.
senseval3.d000.s001.t002	1) Indistinct or hazy in outlineThe word "bleary" is an adjective that typically describes something or
senseval3.d000.s001.t003	5) The organ of sight
senseval3.d000.s002.t000	6) Have or possess, either in a concrete or an abstract sense.This definition best fits the context of the sentence,
senseval3.d000.s002.t001	1) Completely prepared or in condition for immediate action or use or progress
senseval3.d000.s002.t002	2) A statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.
senseval3.d000.s002.t004	The correct answer is: 4) The astonishment you feel when something totally unexpected happens to you.This definition captures the
senseval3.d000.s002.t005	5) The manner in which something fitsIn this context, the word "fit" is used to describe the manner in
senseval3.d000.s003.t000	12) The generic use of the word to refer to any human being
senseval3.d000.s003.t001	3) Given to or marked by the consumption of alcohol.
senseval3.d000.s003.t002	2) Affected with madness or insanity.
senseval3.d000.s004.t002	The most suitable dictionary definition for "matched" in this context is:2) Be compatible, similar or consistent; coincide in
senseval3.d000.s004.t003	1) The act of drinking alcoholic beverages to excess
senseval3.d000.s004.t004	1) The act of drinking alcoholic beverages to excess
senseval3.d000.s004.t005	3) Fail to perceive or to catch with the senses or the mind.In the given sentence, "lost count" is
senseval3.d000.s004.t006	3) The act of counting; reciting numbers in ascending order.In the given sentence, "count" refers to the
senseval3.d000.s004.t007	12) The generic use of the word to refer to any human being.
senseval3.d000.s004.t008	5) The organ of sight.
senseval3.d000.s005.t000	2) An informal term for a youth or man.
senseval3.d000.s005.t002	4) Have or formulate in the mindThis definition best captures the meaning of "thought" in the given sentence, as
senseval3.d000.s005.t004	5) The organ of sight
senseval3.d000.s006.t000	5) The organ of sight
senseval3.d000.s006.t002	9) Emitting or reflecting light readily or in large amounts.This definition best fits the context of the sentence, as "
senseval3.d000.s006.t003	1) Being definitely out of the ordinary and unexpected; slightly odd or even a bit weirdThis definition best captures the meaning
senseval3.d000.s006.t004	4) High level or degree; the property of being intense.The sentence describes the eyes as having a "strange intensity
senseval3.d000.s006.t005	The most suitable dictionary definition which identifies the meaning of "cold" in the given sentence is:3) (color) giving
senseval3.d000.s006.t006	11) The process of combustion of inflammable materials producing heat and light and (often) smoke.This definition best describes "
senseval3.d000.s006.t007	14) Shine intensely, as if with heat.The sentence describes eyes that "burn" with a "cold fire", which
senseval3.d000.s007.t000	4) Notice or perceiveThe sentence "Why hadn't he noticed it before" implies that the speaker is expressing a lack
senseval3.d000.s008.t000	12) The generic use of the word to refer to any human being
senseval3.d000.s008.t001	The correct answer is: 2) Stupefied or excited by a chemical substance (especially alcohol).
senseval3.d000.s009.t000	5) Place in doubt or express doubtful speculation.In the sentence, "He wondered" indicates that the person is expressing doubt
senseval3.d000.s009.t001	8) Come into the possession of something concrete or abstract
senseval3.d000.s009.t003	1) An individual that one is not acquainted with
senseval3.d000.s010.t000	1) Recall knowledge from memory; have a recollection
senseval3.d000.s011.t001	3) A period of time equal to 1/24th of a day.This definition best fits the context of the
senseval3.d000.s011.t002	2) Marked by firm determination or resolution; not shakableIn this context, "steady" is used to
senseval3.d000.s011.t003	3) The act of drinking alcoholic beverages to excess.
senseval3.d000.s011.t004	Among the given options, the most suitable dictionary definition that identifies the meaning of "occasion" is:3) An opportunity to
senseval3.d000.s012.t000	1) An individual that one is not acquainted with.This definition best fits the context of the sentence, as the stranger is
senseval3.d000.s012.t001	34) The striking part of a toolHowever, a more suitable definition for "head" in the context of the given
senseval3.d000.s012.t003	5) The content of cognition; the main thing you are thinking about.This definition best describes the meaning of "thought"
senseval3.d000.s012.t004	The most suitable definition for the word "started" in the given sentence is:5) Begin or set in motionThis
senseval3.d000.s012.t005	1) Travel across or pass over
senseval3.d000.s012.t006	1) The part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel.
senseval3.d000.s012.t007	2) The quality of being luminous; emitting or reflecting light.In this sentence, the word "light" is used
senseval3.d000.s012.t010	6) Make a loud noise, as of wind, water, or vehicles.The sentence describes a loud noise made by the
senseval3.d000.s012.t011	5) A junction where one street or road crosses another
senseval3.d000.s013.t000	3) A restraint used to slow or stop a vehicle.This definition fits the context of the sentence, where "brakes
senseval3.d000.s013.t001	3) Cry loudly, as of animals
senseval3.d000.s013.t002	1) A noise made by the driver of an automobile to give warning;
senseval3.d000.s013.t003	Both options 1 and 2 are suitable, but option 2, "Make a strident sound" is more suitable
senseval3.d000.s013.t004	12) The generic use of the word to refer to any human being.
senseval3.d000.s013.t005	11) Affect or afflict suddenly, usually adversely
senseval3.d000.s013.t006	2) Utter aloud; often with surprise, horror, or joy.In this sentence, "called out" is used
senseval3.d000.s013.t007	3) Following the first in an ordering or series.In this context, "second" refers to the act of Phil intervening
senseval3.d000.s014.t002	12) Get (something) done.The sentence implies that the shout was an action performed, but not necessarily done with intention
senseval3.d000.s015.t001	1) Feel concern or interestIn this context, "cared" is in the past tense of the verb "care
senseval3.d000.s015.t002	2) An informal term for a youth or man.
senseval3.d000.s015.t003	The most suitable dictionary definition for "hit" in the given sentence is:11) Affect or afflict suddenly, usually adversely
senseval3.d000.s016.t000	1) Feel remorse for; feel sorry for; be contrite about
senseval3.d000.s016.t001	11) Cause to open or to become open
senseval3.d000.s016.t002	7) The opening through which food is taken in and vocalizations emerge.This definition is the most suitable because it describes the
senseval3.d000.s016.t003	1) A large truck designed to carry heavy loads; usually without sides
senseval3.d000.s016.t005	1) A spot where something halts or pauses
senseval3.d000.s016.t006	3) Feeling or showing anger.This definition best describes the emotional state of the driver in the sentence, indicating that he is
senseval3.d000.s016.t007	4) Someone who drives a truck as an occupation.This definition is the most suitable because the sentence mentions a "truck"
senseval3.d000.s016.t008	2) Move or jump suddenly, as if in surprise or alarm.This definition fits the context of the sentence, as the
senseval3.d000.s016.t009	2) A compartment at the front of a motor vehicle or locomotive where the driver sits.
senseval3.d000.s016.t010	The most suitable definition for "walked" in the given sentence is:9) Use one's feet to advance; advance
senseval3.d000.s017.t000	1) An individual that one is not acquainted with.
senseval3.d000.s017.t003	1) A human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to
senseval3.d000.s017.t004	6) The part of a garment that covers or fits over the shoulder.In this context, the phrase "around his shoulders
senseval3.d000.s017.t005	5) (used especially of persons) having lived for a relatively long time or attained a specific age.In this context,
senseval3.d000.s017.t006	1) A person you know well and regard with affection and trust
senseval3.d000.s018.t000	5) The operator of a motor vehicle.
senseval3.d000.s018.t001	5) Begin or set in motion
senseval3.d000.s018.t002	4) Utter obscenities or profanities.In this context, the word "curse" is used to
senseval3.d000.s018.t003	1) A secret scheme to do something (especially something underhand or illegal)This definition best fits the context of the sentence
senseval3.d000.s018.t004	3) Destroy completely; damage irreparably.In the sentence, the driver is "ruining" their safe-driving record
senseval3.d000.s018.t006	6) A compilation of the known facts regarding something or someone.In this context, the speaker implies that the driver suspects a
senseval3.d000.s019.t000	12) The generic use of the word to refer to any human being.
senseval3.d000.s019.t001	5) Save from ruin, destruction, or harm.This definition fits the context of the sentence, as the man was saved
senseval3.d000.s019.t002	11) Undergo a transformation or a change of position or action.In the given sentence, the man "turned" is
senseval3.d000.s019.t003	4) Perceive with attention; direct one's gaze towards
senseval3.d000.s019.t005	10) The front of the human head from the forehead to the chin and ear to ear.
senseval3.d000.s019.t006	11) Express in words
senseval3.d000.s019.t007	9) A unit of language that native speakers can identify.This definition is the most suitable because in the given sentence, the
senseval3.d000.s020.t000	4) Someone who drives a truck as an occupation
senseval3.d000.s020.t001	1) Come to a halt, stop movingThis definition best matches the meaning of "stopped" in the given sentence,
senseval3.d000.s020.t002	7) Utter obscenities or profanities
senseval3.d000.s020.t003	The most suitable definition of "turned" in the given sentence is:2) Turn sharply; change direction abruptlyThis definition
senseval3.d000.s020.t004	4) The bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
senseval3.d000.s020.t005	1) A large truck designed to carry heavy loads; usually without sides
senseval3.d000.s021.t000	The most suitable definition for the word "given" in the sentence "Haney hadn't given it much thought at the time
senseval3.d000.s021.t002	2) The process of using your mind to consider something carefullyThis definition best captures the meaning of "thought" in the
senseval3.d000.s021.t003	8) The continuum of experience in which events pass from the future through the past.This definition best fits the sentence "Han
senseval3.d000.s022.t000	4) Recall knowledge from memory; have a recollection.The sentence is saying that the person is remembering or recalling a specific
senseval3.d000.s022.t001	2) Reflect deeply on a subject.This definition best captures the meaning of "wondered" in the given sentence,
senseval3.d000.s022.t002	The most suitable definition for "seen" in the given sentence is:8) Observe, check out, and look over
senseval3.d000.s022.t003	5) The organ of sight
senseval3.d000.s022.t004	The most suitable dictionary definition for "make" in the sentence is:46) Perform or carry outThis definition fits the
senseval3.d000.s023.t000	5) A category of things distinguished by some common characteristic or quality.
senseval3.d000.s023.t001	2) Outward or visible aspect of a person or thing.This definition of "look" refers to the appearance or outward
senseval3.d000.s023.t003	3) The act of bluffing in poker; deception by a false show of confidence in the strength of your cards
senseval3.d000.s023.t004	The most suitable dictionary definition which identifies the meaning of "saying" is:4) State as one's opinion or judgement
senseval3.d000.s023.t005	9) A unit of language that native speakers can identify.In this sentence, "word" refers to a unit of language
senseval3.d000.s024.t000	The most suitable dictionary definition for the word "light" in the given sentence is:2) The quality of being luminous
senseval3.d000.s024.t002	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
senseval3.d000.s024.t003	5) Move forward, also in the metaphorical sense.In this sentence, "went on" is used in a metaphor
senseval3.d000.s024.t004	1) The part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel
senseval3.d000.s025.t000	1) An individual that one is not acquainted with
senseval3.d000.s025.t001	1) Find out, learn, or determine with certainty, usually by making an inquiry or other effort
senseval3.d000.s025.t003	1) Preferred above all others and treated with partiality.
senseval3.d000.s025.t004	The most suitable dictionary definition which identifies the meaning of "bars" in the sentence is:7) Tavern consisting of a building
senseval3.d000.s025.t005	3) Be emphatic or resolute and refuse to budge.The word "insisted" in the given sentence means
senseval3.d000.s025.t006	The most suitable definition for "offering" in this context is:3) Make available; provideThis definition fits the
senseval3.d000.s025.t007	2) Obtain by purchase; acquire by means of a financial transaction
senseval3.d000.s025.t008	4) Any liquid suitable for drinking.
senseval3.d000.s026.t000	20) Begin or set in motionIn the sentence "Phil usually went alone and kept to himself, sitting in a corner
senseval3.d000.s026.t001	1) Shun the company of others.The phrase "kept to himself" in the given sentence implies that Phil chose to
senseval3.d000.s026.t002	2) Be seated.In the given sentence, the meaning of "sitting" is to be in a seated position,
senseval3.d000.s026.t003	12) The point where three areas or surfaces meet or intersect.In this context, "corner" refers to the interior angle
senseval3.d000.s026.t004	6) Pass by
senseval3.d000.s026.t005	1) An instance or single occasion for some event.
senseval3.d000.s026.t006	3) Try to cure by special care of treatment, of an illness or injury.In this context, "nursing
senseval3.d000.s026.t007	1) Preferred above all others and treated with partialityThis definition best describes the meaning of "favorite" in the given
senseval3.d000.s027.t000	1) Reach, make, or come to a decision about something
senseval3.d000.s027.t001	4) Be concerned with or about something or somebody.In this context, "mind" is used to mean be willing to
senseval3.d000.s027.t002	7) A social gathering of guests or companions
senseval3.d000.s027.t004	8) Costing nothingIn the sentence, "free drinks" implies that the speaker is agreeing to the company in exchange
senseval3.d000.s027.t005	4) Any liquid suitable for drinking
senseval3.d000.s027.t006	The most suitable dictionary definition for "made" in the given sentence is:5) Organize or be responsible forIn
senseval3.d000.s027.t007	11) Agreeable or pleasing
senseval3.d000.s027.t009	4) The principal activity in your life that you do to earn money.
senseval3.d000.s029.t000	5) Place in doubt or express doubtful speculation.The word "wondered" is a verb that means to think or
senseval3.d000.s029.t001	7) Have or possess, either in a concrete or an abstract sense.This definition best fits the context of the sentence "
senseval3.d000.s029.t002	1) A whimsically eccentric person
senseval3.d000.s030.t000	Among the provided definitions, the most suitable one for the word "take" in the sentence "He really didn't take the
senseval3.d000.s030.t001	3) Something offered (as a proposal or bid)In this context, "offer" refers to a proposal or a suggestion
senseval3.d000.s030.t003	2) Undergo an emotional sensation or be in a particular state of mind.This definition is the most suitable for the sentence
senseval3.d000.s030.t004	2) Causing or fraught with or showing anxietyIn the given sentence, "uneasy" describes a feeling of anxiety
senseval3.d000.s031.t000	11) Reach a destination; arrive by movement or progress
senseval3.d000.s031.t002	2) Perceive (an idea or situation) mentallyIn this sentence, "realized" means that the person finally
senseval3.d000.s031.t003	11) Give or convey physically.
senseval3.d000.s031.t005	4) Stay in one place and anticipate or expect something.The sentence indicates that the person is remaining in a fixed position (
senseval3.d000.s031.t006	2) A statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.
senseval3.d000.s031.t007	4) Give a certain impression or have a certain outward aspectIn this context, "seem" is used to indicate
senseval3.d000.s031.t008	4) Signal by winkingIn this context, the sentence implies that Pete was signaling or giving a subtle, non-ver
senseval3.d000.s031.t009	8) Continue a certain state, condition, or activity.
senseval3.d000.s031.t010	2) Look at with fixed eyes.The sentence describes someone continuing to stare at someone else, indicating a prolonged and fixed gaze
senseval3.d000.s032.t001	4) Overly diluted; thin and insipid.In the sentence "Haney managed a weak laugh", "weak
senseval3.d000.s032.t002	4) The activity of laughing; the manifestation of joy or mirth or scorn.This definition encompasses the meaning of "la
senseval3.d000.s033.t000	4) Choose in one's mindThe sentence suggests that the speaker is trying to remember someone, Pete, but is having
senseval3.d000.s034.t000	3) A statement acknowledging something or someone.In the given sentence, "Thanks" is used as an expression of gratitude or
senseval3.d000.s035.t000	3) Indistinctly understood or felt or perceived.The sentence describes the crease as "faint," indicating that
senseval3.d000.s035.t001	4) A slight depression in the smoothness of a surface.In the given sentence, "crease" refers to a slight
senseval3.d000.s035.t002	4) Come into being or existence, or appear on the scene.This definition best fits the context of the sentence, as
senseval3.d000.s035.t003	12) The generic use of the word to refer to any human being
senseval3.d000.s036.t000	The most suitable dictionary definition which identifies the meaning of "think" among the given options is:1) Be capable of conscious
senseval3.d000.s036.t001	The most suitable dictionary definition for the word "taking" in the sentence "I think you aren't taking me seriously,
senseval3.d000.s037.t000	2) Mean or intend to express or convey.
senseval3.d000.s038.t000	7) Have or possess, either in a concrete or an abstract sense.In this context, "has" is used to
senseval3.d000.s039.t000	11) Affect or afflict suddenly, usually adversely.In this context, "hit" is used to mean being affected or
senseval3.d000.s039.t001	1) A large truck designed to carry heavy loads; usually without sides.This definition is more suitable because the sentence is referring
senseval3.d000.s040.t000	The most suitable definition is:16) Make a returnIn the context of the sentence "I believe in returning favors,"
senseval3.d000.s040.t001	5) An act of gracious kindness
senseval3.d000.s041.t000	The most suitable dictionary definition which identifies the meaning of "do" in the sentence is:6) Carry on or function
senseval3.d000.s041.t002	The most suitable dictionary definition which identifies the meaning of "like" in the sentence is:1) Find enjoyable or agreeable
senseval3.d000.s042.t000	2) Be priced atThe sentence "It won't cost you a cent" means that it is completely free, implying
senseval3.d000.s043.t001	The most suitable dictionary definition which identifies the meaning of "try" among the given options is:6) Make an effort or
senseval3.d000.s044.t000	1) Scrape or rub as if to relieve itchingThe context of the sentence suggests that Phil is trying to relieve his
senseval3.d000.s044.t001	2) The part of the face above the eyesThis definition is more suitable because in the given sentence, Phil is rubbing
senseval3.d000.s045.t001	2) Undergo an emotional sensation or be in a particular state of mindThis definition best captures the meaning of "feel
senseval3.d000.s045.t002	1) Covered with dense cottony hairs or hairlike filaments
senseval3.d000.s046.t001	2) An informal term for a youth or man.
senseval3.d000.s046.t002	The most suitable dictionary definition which identifies the meaning of "make" in the given sentence is:4) Represent fictitiously
senseval3.d000.s046.t003	1) An opening that permits escape or release.
senseval3.d000.s047.t000	6) Regard something as probable or likelyIn the given sentence, "He really didn't expect anything to come of
senseval3.d000.s047.t001	The most suitable dictionary definition which identifies the meaning of "come" in the sentence is:6) Move toward, travel toward
senseval3.d000.s047.t003	3) (plural) any group of human beings (men or women or children) collectively.This definition is the most suitable
senseval3.d000.s048.t000	5) Acknowledge defeatIn the given sentence, the speaker is admitting that they don't get along with the landlord,
senseval3.d000.s048.t001	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information aboutIn
senseval3.d000.s049.t000	9) Continue a certain state, condition, or activityIn the given sentence, "keeps" implies that the person
senseval3.d000.s049.t001	10) Be carried or travel on or in a vehicle.In the given sentence, "He keeps riding me" is a
senseval3.d000.s049.t002	2) Prefer or wish to do something.In the given sentence, "like" is used to express the speaker's preference
senseval3.d000.s049.t003	1) Listen and pay attention
senseval3.d000.s049.t004	2) An electronic receiver that detects and demodulates and amplifies transmitted signals.This definition is the most suitable because the
senseval3.d000.s049.t005	The most suitable dictionary definition for the word "sing" in the given sentence is:1) Produce tones with the voice
senseval3.d000.s049.t007	2) A relatively large open container that you fill with water and use to wash the body.
senseval3.d000.s050.t000	4) State as one's opinion or judgement; declare
senseval3.d000.s050.t001	1) A person who lives (or is located) near another.
senseval3.d000.s050.t002	2) Express complaints, discontent, displeasure, or unhappiness
senseval3.d000.s050.t003	1) Accept as true; take to be true
senseval3.d000.s051.t000	5) Inform positively and with certainty and confidence.The sentence is asking why something is not being done by the people involved themselves
senseval3.d000.s051.t001	3) Cause annoyance in; disturb, especially by minor irritations
senseval3.d000.s052.t000	12) The generic use of the word to refer to any human being.This definition is the most suitable for the sentence "
senseval3.d000.s052.t001	Among the given definitions, the most suitable one for "closed" in the sentence "The man closed his eyes and nodded"
senseval3.d000.s052.t002	5) The organ of sight
senseval3.d000.s052.t003	1) Express or signify by nodding
senseval3.d000.s053.t000	4) Perceive with attention; direct one's gaze towards.This definition best describes the meaning of "looked" in
senseval3.d000.s053.t001	3) Seem to be true, probable, or apparent.In the given sentence, "seemed" is used to
senseval3.d000.s054.t000	2) An expression of agreement normally occurring at the beginning of a sentence.
senseval3.d000.s055.t000	6) Deliver in exchange or recompense
senseval3.d000.s055.t001	7) The place where a person or organization can be found or communicated with.This definition best captures the meaning of "address
senseval3.d000.s056.t000	The most suitable definition for the sentence "It will take a little time" is:12) Require (time or space)
senseval3.d000.s056.t001	The most suitable dictionary definition which identifies the meaning of "time" in the sentence "It will take a little time" is
senseval3.d000.s057.t000	3) Have need of
senseval3.d000.s057.t001	The most suitable dictionary definition which identifies the meaning of "study" in the sentence is:3) Consider in detail and subject
senseval3.d000.s057.t003	2) (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent
senseval3.d000.s057.t004	10) The act of changing location from one place to another.This definition most closely aligns with the meaning of "mov
senseval3.d000.s058.t000	13) See or watch
senseval3.d000.s058.t001	The most suitable dictionary definition for "make" in the sentence "You see, I always make it look like an accident"
